,종가,거래량,기관매매량,외국인매매량,외국인보유율
2009-12-14,20700.0,5589407.0,-184102.0,112001.0,23.41
2009-12-15,20950.0,4268920.0,673430.0,479390.0,23.51
2009-12-16,21050.0,6283206.0,81166.0,653760.0,23.62
2009-12-17,21100.0,6284160.0,337210.0,936260.0,23.78
2009-12-18,21650.0,6098604.0,1060510.0,1385310.0,24.03
2009-12-21,22050.0,6643108.0,-427787.0,1455206.0,24.28
2009-12-22,21900.0,5000002.0,-304627.0,333930.0,24.33
2009-12-23,22000.0,4006561.0,265929.0,1076132.0,24.52
2009-12-24,22300.0,5460997.0,35879.0,1297850.0,24.74
2009-12-28,22200.0,4791593.0,60244.0,456104.0,24.82
2009-12-29,22200.0,2136873.0,34504.0,120450.0,24.84
2009-12-30,23150.0,7868021.0,887865.0,504814.0,24.93
2010-01-04,24100.0,7346425.0,165962.0,120740.0,24.95
2010-01-05,23350.0,12118281.0,-1907804.0,552976.0,25.04
2010-01-06,24550.0,7731186.0,-356895.0,1824888.0,25.35
2010-01-07,24400.0,11084814.0,-2233344.0,4332207.0,26.08
2010-01-08,24650.0,9695685.0,499451.0,540983.0,26.16
2010-01-11,24000.0,6750517.0,-1097479.0,1152650.0,26.35
2010-01-12,24050.0,4616931.0,126518.0,270250.0,26.39
2010-01-13,24050.0,5009003.0,82303.0,82255.0,26.4
2010-01-14,25450.0,11505860.0,2863972.0,48353.0,26.38
2010-01-15,26100.0,11798734.0,-352129.0,1477706.0,26.63
2010-01-18,25900.0,6947223.0,-1074027.0,854248.0,26.77
2010-01-19,25600.0,6095082.0,-916204.0,366800.0,26.86
2010-01-20,25400.0,5997062.0,-201037.0,588470.0,26.97
2010-01-21,25950.0,8321162.0,1552794.0,-837930.0,26.82
2010-01-22,26100.0,10560982.0,1458513.0,-1318947.0,26.6
2010-01-25,26050.0,7098150.0,-817554.0,182382.0,26.63
2010-01-26,23600.0,18901657.0,-462684.0,-340138.0,26.57
2010-01-27,23250.0,20559203.0,3818357.0,-2681420.0,26.12
2010-01-28,23600.0,10080020.0,-101442.0,404632.0,26.19
2010-01-29,22750.0,10273997.0,-327764.0,483180.0,26.27
2010-02-01,23100.0,14926334.0,-1316527.0,354277.0,26.33
2010-02-02,22000.0,11667143.0,-2111479.0,330735.0,26.4
2010-02-03,21300.0,14618448.0,-1030487.0,-13790.0,26.38
2010-02-04,21750.0,9855737.0,1217858.0,113130.0,26.4
2010-02-05,21300.0,7305491.0,545894.0,-461475.0,26.33
2010-02-08,21700.0,5663174.0,1018041.0,-644500.0,26.22
2010-02-09,22650.0,7285894.0,178944.0,133050.0,26.24
2010-02-10,22700.0,6809098.0,-1102116.0,1194600.0,26.45
2010-02-11,21950.0,11508085.0,-1794413.0,61490.0,26.46
2010-02-12,21600.0,7584876.0,-2129948.0,-65999.0,26.47
2010-02-16,21300.0,5951014.0,-504017.0,-165160.0,26.44
2010-02-17,22350.0,7825290.0,412664.0,868210.0,26.58
2010-02-18,22150.0,3744025.0,-384168.0,205130.0,26.6
2010-02-19,21400.0,5772700.0,-978133.0,-211250.0,26.57
2010-02-22,22150.0,5334169.0,-378851.0,849890.0,26.71
